,abstract,volume,date,uri,date_type,subjects,full_text_status,issn,status_changed,ispublished,rev_number,related_url,divisions,publisher,publication,dir,userid,number,official_url,lastmod,documents,datestamp,eprintid,eprint_status,metadata_visibility,type,creators,title,refereed,place_of_pub,isbn,pages,pagerange,book_title,referencetext,corp_creators,id_number,editors,monograph_type,institution,department,succeeds,contact_email,event_dates,pres_type,event_location,event_type,event_title,note,contributors,keywords,funders
34,"ABSTRAK. Universitas Lampung (Unila) berproses dari Universitas Pembelajaran ke Universitas Penelitian, namun masih mengalami
kendala dalam jumlah penelitian dan publikasi penelitian. Untuk menjadi Universitas Penelitian Unila  dituntut untuk menyediakan
keunggulan kompetitif yang strategis terkait budaya meneliti. Tujuan yang ingin dicapai dalam penelitian ini adalah mengetahui budaya
organisasi di Unila serta mengetahui proses perubahan budaya, dari Universitas Pembelajaran kepada Universitas Penelitian. Metode
yang digunakan dalam penelitian ini adalah kuantitatif dengan statistik inferensi karena penelitian ini bertujuan untuk mengetahui
berbagai variasi yang muncul dari perubahan budaya organisasi dari universitas pembelajaran ke universitas penelitian. Populasi dalam
penelitian ini adalah Tenaga Pendidik Universitas Lampung, dengan sampel berjumlah 90 orang. Teknik pengumpulan data yang
digunakan adalah kuisioner. Teknik analisis data menggunakan analisis univariat (analisis per variabel) dan analisis bivariat (analisis
dua variabel). Hasil penelitian menunjukkan bahwa budaya organisasi Universitas Lampung sudah mengarah pada perubahan budaya
dari Universitas Pembelajaran ke Universitas Penelitian. Namun budaya riset yang terbangun masih bersifat personal, karena kebutuhan
pribadi bukan digerakkan secara masif oleh perguruan tinggi. Hal tersebut dapat dilihat dari komparasi antara manajemen perguruan
tinggi dan budaya riset. Prakarsa dan konsistensi didominasi oleh keinginan pribadi dan publikasi belum membudaya akibat lemahnya
dosen menjangkau akses kepada publikasi tersebut. Saran penelitian adalah komitmen pemimpin yang tinggi, baik dari kebijakan yang
dikeluarkan dan dukungan pendanaan, sarana dan prasarana. Budaya research tidak hanya mementingkan personal saja tetapi research
dilaksanakan secara kelembagaan dan diyakini sebagai kebutuhan bersama. 
Kata kunci: budaya; universitas pembelajaran; universitas penelitian",21,2019-07-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/16033,published,['H1'],public,ISSN 1411 - 0903 : eISSN: 2443-2660,2019-11-08 17:53:05,pub,9,,['FISIP3'],Direktorat Sumber Daya Akademik dan Perpustakaan Universitas Padjadjaran,Sosiohumaniora - Jurnal Ilmu-ilmu Sosial dan Humaniora,disk0/00/01/60/33,912,2.0,http://jurnal.unpad.ac.id/sosiohumaniora/article/view/20662,2019-12-23 05:20:30,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/30514', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 16033, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'docid': 30514, 'main': 'Feni R.pdf', 'files': [{'hash': 'ab20db38260a228ed653cadbbb037f8c', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 147174, 'mtime': '2019-12-23 05:20:29', 'hash_type': 'MD5', 'filename': 'Feni R.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/147174', 'objectid': 30514, 'filesize': 2095844}], 'format': 'text'}]",2019-11-08 17:53:05,16033,archive,show,article,"[{'id': 'feni.rosalia@fisip.unila.ac.id', 'name': {'given': 'Feni', 'honourific': None, 'lineage': None, 'family': 'Rosalia'}}]","PERUBAHAN BUDAYA ORGANISASI DARI UNIVERSITAS PEMBELAJARAN
KE UNIVERSITAS PENELITIAN DI UNIVERSITAS LAMPUNG",TRUE,,,,222-227,,,['Universitas Lampung'],,,,,,,,,,,,,,,,
35,Penilaian Sejawat,21,1970-01-01 00:00:00.000002019,http://repository.lppm.unila.ac.id/id/eprint/16034,published,['H1'],public,ISSN 1411 - 0903 : eISSN: 2443-2660,2019-11-08 17:57:33,pub,9,,['FISIP3'],Direktorat Sumber Daya Akademik dan Perpustakaan Universitas Padjadjaran,Sosiohumaniora - Jurnal Ilmu-ilmu Sosial dan Humaniora,disk0/00/01/60/34,912,2.0,,2019-12-21 17:29:13,"[{'eprintid': 16034, 'placement': 2, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/30502', 'pos': 2, 'format': 'text', 'docid': 30502, 'main': 'Perubahan Budaya Organisasi.pdf', 'files': [{'fileid': 147108, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '73d4c4f192aceea50da9584dd99783c2', 'hash_type': 'MD5', 'mtime': '2019-12-21 17:28:48', 'objectid': 30502, 'filesize': 1474156, 'uri': 'http://repository.lppm.unila.ac.id/id/file/147108', 'filename': 'Perubahan Budaya Organisasi.pdf'}], 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",2019-11-08 17:57:33,16034,archive,show,article,"[{'id': 'feni.rosalia@fisip.unila.ac.id', 'name': {'given': 'Feni', 'lineage': None, 'family': 'Rosalia', 'honourific': None}}]","PERUBAHAN BUDAYA ORGANISASI DARI UNIVERSITAS PEMBELAJARAN
KE UNIVERSITAS PENELITIAN DI UNIVERSITAS LAMPUNG",TRUE,,,,,,,['Universitas Lampung'],,,,,,,,,,,,,,,,
36,Similarity,,1970-01-01 00:00:00.000002019,http://repository.lppm.unila.ac.id/id/eprint/23044,published,['AC'],public,,2020-07-08 08:16:53,pub,7,,['FISIP3'],Sosiohumaniora - Jurnal Ilmu-ilmu Sosial dan Humaniora,,disk0/00/02/30/44,912,,,2020-07-08 08:16:53,"[{'eprintid': 23044, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/36603', 'format': 'text', 'main': 'Feni.R. Similarity  Perubahan_Budaya_Organisasi (2).pdf', 'docid': 36603, 'files': [{'mtime': '2020-07-08 07:58:33', 'hash_type': 'MD5', 'filename': 'Feni.R. Similarity  Perubahan_Budaya_Organisasi (2).pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/211372', 'objectid': 36603, 'filesize': 2325557, 'mime_type': 'application/pdf', 'hash': 'd08b22a290bf971d0a476b2f9d9dd0f8', 'fileid': 211372, 'datasetid': 'document'}], 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",2020-07-08 08:16:53,23044,archive,show,other,"[{'name': {'honourific': None, 'family': 'Rosalia', 'lineage': None, 'given': 'Feni'}, 'id': 'feni.rosalia@fisip.unila.ac.id'}]",PERUBAHAN BUDAYA ORGANISASI DARI UNIVERSITAS PEMBELAJARAN KE UNIVERSITAS PENELITIAN DI UNIVERSITAS LAMPUNG,,,,,,,,,,,,,,,,,,,,,,,,
37,"Desentralisasi fiskal secara teori akan berimplikasi positif terhadap pertumbuhan ekonomi, pemerataan pembangunan, serta peningkatan akuntabilitas dan efisiensi. Dalam perspektif pemerintahan, desentralisasi fiskal kemudian menjadi strategi yang wajib dijalankan oleh pemerintah pusat untuk membangun hubungan yang selaras antar unit pemerintahan baik secara vertikal maupun horizontal. Pertanyaan dalam penelitian ini adalah benarkah desentralisasi fiskal dapat mewujudkan kemandirian pada daerah-daerah pasca pemekaran sebagai wujud kinerja otonomi daerah? dengan locus di Provinsi Lampung, yaitu Kabupaten Tulang Bawang (sebagai kabupaten induk), Tulang Bawang Barat, dan Mesuji (hasil pemekaran). Penelitian ini merupakan penelitian deskriptif dengan pendekatan atau analisa kualitatif. Secara faktual terbukti bahwa sepuluh tahun pasca pemekaran, jumlah transfer dana dari pusat maupun pertumbuhan ekonomi pada tiga kabupatan pasca pemekaran selalu meningkat setiap tahun. Namun demikian, terdapat dua temuan terkait dengan relasi antara desentralisasi fiskal dengan kinerja otonomi daerah. Pertama, desentralisasi fiskal lebih banyak dimaknai sebagai penyerahan sejumlah uang ke daerah sehingga strategi peningkatan kemampuan keuangan lebih berfokus pada seberapa besar uang dari pusat dapat masuk ke daerah dalam bentuk dana perimbangan. Kedua, pemberian wewenang kepada daerah untuk memungut sumber pendapatan dalam bentuk pajak dan retribusi daerah justru lebih dominan dilakukan demi tujuan pendapatan daripada pelayanan. Oleh karena itu, meskipun desentralisasi fiskal berimplikasi positif terhadap pertumbuhan ekonomi di kabupaten induk maupun kabupaten pemekaran, namun ternyata belum mampu mewujudkan kemandirian daerah. Pada konteks yang lebih makro, penelitian ini memiliki keterbatasan argumentasi karena kinerja otonomi atau kemandirian daerah hanya mampu dinilai pada sisi makro-ekonomi serta sisi kemampuan keuangan. Sejatinya, terdapat indikator atau aspek yang lebih komprehensif selain keduanya.",5,1970-01-01 00:00:00.000002019,http://repository.lppm.unila.ac.id/id/eprint/18843,published,['JS'],public,2540-8674,2020-03-30 01:11:42,pub,7,"[{'url': 'https://doi.org/10.24198/cosmogov.v5i2.22803', 'type': 'pub'}]",['FISIP3'],"Departemen Ilmu Pemerintahan, FISIP, Universitas Padjadjaran",COSMOGOV,disk0/00/01/88/43,926,2.0,http://jurnal.unpad.ac.id/cosmogov,2020-03-30 01:11:42,"[{'language': 'en', 'rev_number': 2, 'mime_type': 'application/pdf', 'format': 'text', 'files': [{'hash_type': 'MD5', 'mtime': '2020-03-24 02:04:22', 'objectid': 32059, 'filesize': 874316, 'uri': 'http://repository.lppm.unila.ac.id/id/file/158142', 'filename': '22803-73104-4-PB.pdf', 'datasetid': 'document', 'fileid': 158142, 'hash': '6bef7dca5b3964340be861b335021da5', 'mime_type': 'application/pdf'}], 'main': '22803-73104-4-PB.pdf', 'docid': 32059, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/32059', 'pos': 1, 'eprintid': 18843, 'placement': 1}]",2020-03-30 01:11:42,18843,archive,show,article,"[{'name': {'family': 'Syarief', 'lineage': None, 'honourific': None, 'given': 'Makhya'}, 'id': 'syarief.makhya@fisip.unila.ac.id'}, {'name': {'given': 'Mukhlis', 'lineage': None, 'family': 'Maulana', 'honourific': None}, 'id': None}]","DESENTRALISASI FISKAL DAN IMPLIKASINYA TERHADAP KINERJA OTONOMI DAERAH PASCA PEMEKARAN (Studi di Kabupaten Tulang Bawang, Tuba Barat, dan Mesuji Lampung)",TRUE,,,,147-162,,,,10.24198,,,,,,,,,,,,,,,
38,"Desentralisasi fiskal secara teori akan berimplikasi positif terhadap pertumbuhan ekonomi, pemerataan pembangunan, serta peningkatan akuntabilitas dan efisiensi. Dalam perspektif pemerintahan, desentralisasi fiskal kemudian menjadi strategi yang wajib dijalankan oleh pemerintah pusat untuk membangun hubungan yang selaras antar unit pemerintahan baik secara vertikal maupun horizontal. Pertanyaan dalam penelitian ini adalah benarkah desentralisasi fiskal dapat mewujudkan kemandirian pada daerah-daerah pasca pemekaran sebagai wujud kinerja otonomi daerah? dengan locus di Provinsi Lampung, yaitu Kabupaten Tulang Bawang (sebagai kabupaten induk), Tulang Bawang Barat, dan Mesuji (hasil pemekaran). Penelitian ini merupakan penelitian deskriptif dengan pendekatan atau analisa kualitatif. Secara faktual terbukti bahwa sepuluh tahun pasca pemekaran, jumlah transfer dana dari pusat maupun pertumbuhan ekonomi pada tiga kabupatan pasca pemekaran selalu meningkat setiap tahun. Namun demikian, terdapat dua temuan terkait dengan relasi antara desentralisasi fiskal dengan kinerja otonomi daerah. Pertama, desentralisasi fiskal lebih banyak dimaknai sebagai penyerahan sejumlah uang ke daerah sehingga strategi peningkatan kemampuan keuangan lebih berfokus pada seberapa besar uang dari pusat dapat masuk ke daerah dalam bentuk dana perimbangan. Kedua, pemberian wewenang kepada daerah untuk memungut sumber pendapatan dalam bentuk pajak dan retribusi daerah justru lebih dominan dilakukan demi tujuan pendapatan daripada pelayanan. Oleh karena itu, meskipun desentralisasi fiskal berimplikasi positif terhadap pertumbuhan ekonomi di kabupaten induk maupun kabupaten pemekaran, namun ternyata belum mampu mewujudkan kemandirian daerah. Pada konteks yang lebih makro, penelitian ini memiliki keterbatasan argumentasi karena kinerja otonomi atau kemandirian daerah hanya mampu dinilai pada sisi makro-ekonomi serta sisi kemampuan keuangan. Sejatinya, terdapat indikator atau aspek yang lebih komprehensif selain keduanya.",5,1970-01-01 00:00:00.000002019,http://repository.lppm.unila.ac.id/id/eprint/19591,published,['JS'],public,2540-8674,2020-05-13 01:50:15,pub,6,[{'url': 'https://doi.org/10.24198/cosmogov.v5i2.22803'}],['FISIP3'],"Departemen Ilmu Pemerintahan, FISIP, Universitas Padjadjaran",COSMOGOV,disk0/00/01/95/91,926,2.0,http://jurnal.unpad.ac.id/cosmogov,2020-05-13 01:50:15,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/32832', 'pos': 1, 'eprintid': 19591, 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'docid': 32832, 'main': '2. Desentralisasi Fiskal dan Implikasinya Trhadap Kinerja Otonomi Daerah Pasca Pemekaran (studi di Kab. Tulang Bawang, Kab. Tuba Barat, dan Mesuji Lampung.pdf', 'files': [{'datasetid': 'document', 'fileid': 163656, 'hash': '064ef9aa4c136c7ecf42cd935b4c390a', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2020-05-12 06:52:13', 'filesize': 757439, 'objectid': 32832, 'filename': '2. Desentralisasi Fiskal dan Implikasinya Trhadap Kinerja Otonomi Daerah Pasca Pemekaran (studi di Kab. Tulang Bawang, Kab. Tuba Barat, dan Mesuji Lampung.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/163656'}]}]",2020-05-13 01:50:15,19591,archive,show,article,"[{'id': 'syarief.makhya@fisip.unila.ac.id', 'name': {'lineage': None, 'family': 'Syarief', 'honourific': None, 'given': 'Makhya'}}, {'id': None, 'name': {'lineage': None, 'family': 'Maulana', 'honourific': None, 'given': 'Mukhlis'}}]","DESENTRALISASI FISKAL DAN IMPLIKASINYA TERHADAP KINERJA OTONOMI DAERAH PASCA PEMEKARAN (Studi di Kabupaten Tulang Bawang, Tuba Barat, dan Mesuji Lampung)(Penilaian)",TRUE,,,,147-162,,,,10.24198,,,,,,,,,,,,,,,
39,"Desentralisasi fiskal secara teori akan berimplikasi positif terhadap pertumbuhan ekonomi, pemerataan pembangunan, serta peningkatan akuntabilitas dan efisiensi. Dalam perspektif pemerintahan, desentralisasi fiskal kemudian menjadi strategi yang wajib dijalankan oleh pemerintah pusat untuk membangun hubungan yang selaras antar unit pemerintahan baik secara vertikal maupun horizontal. Pertanyaan dalam penelitian ini adalah benarkah desentralisasi fiskal dapat mewujudkan kemandirian pada daerah-daerah pasca pemekaran sebagai wujud kinerja otonomi daerah? dengan locus di Provinsi Lampung, yaitu Kabupaten Tulang Bawang (sebagai kabupaten induk), Tulang Bawang Barat, dan Mesuji (hasil pemekaran). Penelitian ini merupakan penelitian deskriptif dengan pendekatan atau analisa kualitatif. Secara faktual terbukti bahwa sepuluh tahun pasca pemekaran, jumlah transfer dana dari pusat maupun pertumbuhan ekonomi pada tiga kabupatan pasca pemekaran selalu meningkat setiap tahun. Namun demikian, terdapat dua temuan terkait dengan relasi antara desentralisasi fiskal dengan kinerja otonomi daerah. Pertama, desentralisasi fiskal lebih banyak dimaknai sebagai penyerahan sejumlah uang ke daerah sehingga strategi peningkatan kemampuan keuangan lebih berfokus pada seberapa besar uang dari pusat dapat masuk ke daerah dalam bentuk dana perimbangan. Kedua, pemberian wewenang kepada daerah untuk memungut sumber pendapatan dalam bentuk pajak dan retribusi daerah justru lebih dominan dilakukan demi tujuan pendapatan daripada pelayanan. Oleh karena itu, meskipun desentralisasi fiskal berimplikasi positif terhadap pertumbuhan ekonomi di kabupaten induk maupun kabupaten pemekaran, namun ternyata belum mampu mewujudkan kemandirian daerah. Pada konteks yang lebih makro, penelitian ini memiliki keterbatasan argumentasi karena kinerja otonomi atau kemandirian daerah hanya mampu dinilai pada sisi makro-ekonomi serta sisi kemampuan keuangan. Sejatinya, terdapat indikator atau aspek yang lebih komprehensif selain keduanya.",5,1970-01-01 00:00:00.000002019,http://repository.lppm.unila.ac.id/id/eprint/18847,published,['JS'],public,2540-8674,2020-03-30 01:08:16,pub,8,[{'url': 'http://jurnal.unpad.ac.id/cosmogov/article/view/22803'}],['FISIP3'],"Departemen Ilmu Pemerintahan, FISIP, Universitas Padjadjaran",COSMOGOV,disk0/00/01/88/47,926,2.0,http://jurnal.unpad.ac.id/cosmogov,2020-03-30 01:08:16,"[{'format': 'text', 'files': [{'mtime': '2020-03-24 03:07:49', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/158180', 'filename': 'desentralisasi_fiskal.pdf', 'filesize': 6889859, 'objectid': 32064, 'mime_type': 'application/pdf', 'hash': 'b8ad55d74e40b0c59de409e08d017f93', 'fileid': 158180, 'datasetid': 'document'}], 'main': 'desentralisasi_fiskal.pdf', 'docid': 32064, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 2, 'eprintid': 18847, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/32064'}]",2020-03-30 01:08:16,18847,archive,show,article,"[{'id': 'syarief.makhya@fisip.unila.ac.id', 'name': {'given': 'Makhya', 'honourific': None, 'family': 'Syarief', 'lineage': None}}, {'name': {'honourific': None, 'lineage': None, 'family': 'maulana', 'given': 'mukhlis'}, 'id': None}]","DESENTRALISASI FISKAL DAN IMPLIKASINYA TERHADAP KINERJA OTONOMI DAERAH PASCA PEMEKARAN (Studi di Kabupaten Tulang Bawang, Tuba Barat, dan Mesuji Lampung) Similirity",TRUE,,,,147-162,,,,doi.org/10.24198/cosmogov.v5i2.22803,,,,,,,,,,,,,,,
40,"Indikator sebuah negara demokrasi selalu diawali dengan adanya pemilihan umum, baik dilevel nasional maupun lokal. Pelaksaan Pilkada serentak tahun 2015 dan Pemilu tahun 2019 mengindikasi bahwa Indonesia sudah menjadi negara yang bergerak menuju negara dengan demokrasi yang matang. Sejauh ini tidak ditemukan konflik yang mengakar diaras public walaupun perhelatan dua event demokrasi besar tersebit menyisakan beragam evaluasi dimulai dari kritik terhadap sistem pemilu yang terlalu rumit, penyelenggara yang belum sempurna mengejahwantahkan peraturan pemilu di lapangan, kekurangan logistik pemilu dan berbagai pelanggaran pemilu yang ditemukan. Tulisan ini mencoba memberikan catatan terhadap kedua event politik tersebut. Catatan yang paling utama bagi Pilkada serentak adalah potensi kecurangan ternyata bukan terletak pada biaya kampanye formal yang pada Pilkada 2015 ditanggung oleh ‘penyelenggara’,  dalam konteks ini penyelenggara harus mampu menemukan formulasi teknis yang dapat mengurangi sebaran politik uang dan hal itu akan lebih bermanfaat bagi kualitas pemimpin yang terpilih. Sedangkan bagi Pemilu 2019, penulis melihat justru persoalan distribusi logistic, pendataan pemilih dan sistem pemilu proporsional terbuka menjadi hal utama yang harus menjadi catatan dalam evaluasi Pemilu 2019.",13,2019-06-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/15615,published,['JA'],public,1858-2400,2019-11-05 10:57:50,pub,6,[{'url': 'http://wacanapublik.stisipoldharmawacana.ac.id/'}],['FISIP3'],LP3M  STISIPOL Dharma Wacana,Wacana Publik,disk0/00/01/56/15,307,1.0,http://wacanapublik.stisipoldharmawacana.ac.id/,2019-11-05 10:57:50,"[{'files': [{'hash': '28fdf2ef400cac4d60bc3ba641a6bda8', 'mime_type': 'application/pdf', 'fileid': 134471, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/134471', 'filename': '01 Arizka Warganegara.pdf', 'filesize': 264202, 'objectid': 28735, 'mtime': '2019-11-05 07:31:19', 'hash_type': 'MD5'}], 'main': '01 Arizka Warganegara.pdf', 'docid': 28735, 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 15615, 'uri': 'http://repository.lppm.unila.ac.id/id/document/28735', 'pos': 1, 'security': 'public'}]",2019-11-05 10:57:50,15615,archive,show,article,"[{'id': 'arizka.warganegara@fisip.unila.ac.id', 'name': {'family': 'Warganegara', 'lineage': None, 'honourific': None, 'given': 'Arizka'}}]",EVALUASI PILKADA SERENTAK 2015 DAN PEMILU 2019: SEBUAH CATATAN SINGKAT,TRUE,,,,1-6,,,['Universitas Lampung'],,,,,,,,,,,,,,,,
41,"Election is one of the most important indicator of the democratic country, both election in the local and national level. The successful organising simultaneous local election in 2015 and general election in 2019, this indicates that Indonesia is moving forward towards a mature democratic country. Based on the qualitative assestment, there is no systematic election fraud found that could possibly deteriorated the quality of the election both in simultaneous local election in 2015 and general election in 2019 but there are some technical problems that need to be fixed in the future obviously. For example, the lack of capacity electoral commission in defining the election regulations and the problem of logistic distribution, those become among the important problem that need to be evaluated and resolved. This paper endeavours to evaluate the simultaneous local election in 2015 and general election in 2019 by applying qualitative assestment. One of the important finding is the problem of reducing money politics activities especially in the local election. Therefore, the electoral commission need to obtain a solution to reduce this fraud activities in order to decrease the widespread of vote buying activities in the future. In the context of 2019 General Election, there are three problems that need to be fixed. Those three problems are logistics distribution, voter registration and the mode of legislative election system.

Keywords: local election, general election and democracy",13,2019-05-25 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/17496,published,"['H1', 'JA']",public,SSN: 2656-9558,2020-01-27 02:48:22,pub,7,,['FISIP3'],Stisipol Darma Wacana Metro,Evaluasi Pilkada Serentak 2015 dan Pemilu 2019: Sebuah Catatan Singkat,disk0/00/01/74/96,570,1.0,http://wacanapublik.stisipoldharmawacana.ac.id/index.php/politik/issue/view/7,2020-01-27 02:48:22,"[{'placement': 1, 'eprintid': 17496, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/30625', 'security': 'public', 'docid': 30625, 'main': 'Jurnal Stisipol_Mei 2019.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2020-01-06 05:55:31', 'objectid': 30625, 'filesize': 254061, 'filename': 'Jurnal Stisipol_Mei 2019.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/147933', 'datasetid': 'document', 'fileid': 147933, 'mime_type': 'application/pdf', 'hash': '8a908a3ab94efe26a922d2db39885504'}], 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",2020-01-27 02:48:22,17496,archive,show,article,"[{'id': 'arizka.warganegara@fisip.unila.ac.id', 'name': {'given': 'Arizka', 'honourific': None, 'lineage': None, 'family': 'Warganegara'}}]",Evaluasi Pilkada Serentak 2015 dan Pemilu 2019: Sebuah Catatan Singkat,TRUE,,,,1-6,,"Berman, Russel. 2016. How Can the U.S. Shrink the Influence of Money in Politics? terbit pada 13 Maret 2016 diakses 10 Februari 2019 pada laman https://www.theatlantic.com/politics/archive/2016/03/fix-money-in-politics/473214/6

Chandra, K. 2012. Constructivist theories of ethnic politics. Oxford University Press.

Warganegara, Arizka. 2016. Mengevaluasi Pemilihan Umum Kepala Daerah Serentak. LSC Insight. Volume 1 Number 5

Warganegara, Arizka. 2019. Mozaik dan Evaluasi Pemilu 2019. Lampung Post, 22 April 2019 

Warganegara, Arizka. 2019. Politik Transaksional. Lampung Post, 11 Februari 2019 Harian Kompas. Data Pemilih Pemilukada Serentak tahun 2015, terbit tanggal 13 Oktober 2015",,,,,,,,,,,,,,,,,
42,,,2019-09-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/50028,published,"['G1', 'JA']",public,,2023-04-10 04:15:26,unpub,8,,['FISIP3'],JIP Unila,,disk0_bak/00/05/00/28,570,,,2023-04-10 04:15:26,"[{'format': 'text', 'main': 'Laporan Penelitian_Demokratisasi dan Globalisasi.pdf', 'files': [{'datasetid': 'document', 'fileid': 541246, 'hash': '783ba9e4495d5ee89f6b3699761c2fe2', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2023-04-10 03:27:10', 'filesize': 836314, 'objectid': 189716, 'uri': 'http://repository.lppm.unila.ac.id/id/file/541246', 'filename': 'Laporan Penelitian_Demokratisasi dan Globalisasi.pdf'}], 'docid': 189716, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'eprintid': 50028, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/189716', 'pos': 1}]",2023-04-10 04:15:26,50028,archive,show,other,"[{'name': {'given': 'Arizka', 'lineage': None, 'family': 'Warganegara', 'honourific': None}, 'id': 'arizka.warganegara@fisip.unila.ac.id'}]",Laporan Penelitian- Demokratisasi dan Globalisasi,,,,,,,,,,,,,,,arizka.warganegara@fisip.unila.ac.id,,,,,,,,,
43,,,2019-11-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/50027,published,"['G1', 'JA', 'JF']",public,,2023-04-10 04:15:24,unpub,9,,['FISIP3'],MIP Unila,,disk0_bak/00/05/00/27,570,,,2023-04-10 04:15:24,"[{'main': 'Laporan Penelitian_Partisipasi Pemilih.pdf', 'docid': 189715, 'files': [{'mtime': '2023-04-10 03:24:53', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/541236', 'filename': 'Laporan Penelitian_Partisipasi Pemilih.pdf', 'filesize': 2133545, 'objectid': 189715, 'mime_type': 'application/pdf', 'hash': '53894e8ea3aa60f335d4bcff793153a4', 'datasetid': 'document', 'fileid': 541236}], 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 50027, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/189715', 'security': 'public'}]",2023-04-10 04:15:24,50027,archive,show,other,"[{'name': {'given': 'Arizka', 'honourific': None, 'family': 'Warganegara', 'lineage': None}, 'id': 'arizka.warganegara@fisip.unila.ac.id'}]",Laporan Penelitian- Partisipasi Pemilih,,Bandar Lampung,,,,,,,,,,,,,arizka.warganegara@fisip.unila.ac.id,,,,,,,,,
